driver,unit,fy2025_actual,fy2026_ytd_actual,fy2027_downside,fy2027_base,fy2027_upside,notes
New paid subscribers per month,subscribers,11579.8333,17065.5,17065.5,20819.91,24744.975,Average monthly first payments
Blended CAC,USD,19.4961,18.5526,22.2631,19.4802,17.6249,Acquisition spend / all new subscribers
Paid CAC,USD,26.0614,27.8986,34.8733,29.5725,26.5037,Paid-channel spend / paid-channel first payments
Organic share of new subscribers,%,0.3551,0.4135,0.3804,0.4135,0.4466,"SEO, direct, community"
12-month plan share of new subscribers,%,0.3707,0.4139,0.4553,0.4139,0.3932,"Higher annual mix: more cash now, lower MRR per sub"
Month-1 retention,%,0.7614,0.7987,0.7668,0.7987,0.8227,Cohort active at M1 / cohort size
Monthly churn rate,%,0.1285,0.0881,0.0986,0.0881,0.081,Churned / opening subscribers
Token attach rate,%,0.0665,0.0754,0.0694,0.0777,0.083,Token buyers / average active subscribers
Token ARPPU,USD per buyer per month,55.9816,56.3529,53.5352,57.4799,59.734,Token revenue / token buyers
ARPU,USD per sub per month,11.5946,10.7489,10.319,10.8564,11.1789,Net revenue / average active subscribers
Sign-up to paid conversion,%,0.0307,0.0351,0.0334,0.0358,0.0372,New subscribers / free sign-ups
GPU cost per active subscriber,USD per month,2.6541,1.3715,1.5772,1.3029,1.1657,Includes free-tier load
Free-tier compute cost,USD per month,70436.5608,45813.1212,57266.4016,50394.4334,43522.4652,Grows with sign-ups; lever: message cap
Payment fees incl. chargebacks,% of net revenue,0.0858,0.0723,0.0781,0.0709,0.068,More Acquirer C and crypto lowers fees
Renewal approval rate,%,0.9159,0.9449,0.9354,0.9449,0.9496,After retries
Headcount (end of period),FTE,41.0,48.0,52.8,60.0,64.8,Upside grows faster and hires more
Payroll cost per FTE,USD per month,7095.6636,7205.072,7637.3763,7493.2749,7421.2242,Fully loaded
Gross margin,%,0.5846,0.6608,0.6278,0.6675,0.6807,Net revenue - COGS
EBITDA margin,%,-0.1685,0.1268,0.0507,0.1459,0.1839,Outcome check for the plan
