table,column,dtype,description
fact_subscribers,subscriber_id,object,"Paying subscriber, joins fact_subscribers."
fact_subscribers,first_payment_date,object,Date of first successful payment.
fact_subscribers,cohort_month,object,Month of first payment (acquisition cohort).
fact_subscribers,country_code,object,"Market code, joins dim_country."
fact_subscribers,market_tier,object,Tier 1 / 2 / 3 market grouping.
fact_subscribers,channel_id,object,"Acquisition channel, joins dim_channel."
fact_subscribers,campaign_id,object,"Campaign, joins dim_campaign."
fact_subscribers,device,object,"Device at sign-up (web app on mobile, desktop, tablet)."
fact_subscribers,payment_method_id,object,"Payment method, joins dim_payment_method."
fact_subscribers,processor_id,object,"Payment processor, joins dim_processor."
fact_subscribers,first_plan_id,object,Plan bought at first payment.
fact_subscribers,current_plan_id,object,Plan at last activity (current plan if active).
fact_subscribers,first_price_per_month,float64,"Monthly-equivalent list price paid at first purchase (pricing currency, tax-inclusive)."
fact_subscribers,acquired_on_promo,bool,True if first payment fell on a promo day (see dim_date).
fact_subscribers,pricing_experiment_variant,object,"EXP04 arm for Apr-May 2025 sign-ups, else blank."
fact_subscribers,status,object,Active or Churned at 31-Aug-2026.
fact_subscribers,churn_month,object,Month of the most recent churn (blank if active).
fact_subscribers,churn_type,object,"Voluntary, Involuntary (payment failure), Refund or Chargeback. Blank if active."
fact_subscribers,first_churn_month,object,Month of first ever churn (differs from churn_month for win-backs).
fact_subscribers,months_active,int16,Month-ends active since Jan-2024.
fact_subscribers,renewals,int64,Successful renewal payments since Jan-2024.
fact_subscribers,reactivations,int16,Number of win-backs after churn.
fact_subscribers,token_packs_purchased,int64,Token packs bought.
fact_subscribers,tokens_purchased,int64,Tokens bought via packs (excludes the 100 monthly included tokens).
fact_subscribers,first_payment_net_usd,float64,Net (ex-tax) USD of the first payment; 0 for 2023 cohorts.
fact_subscribers,subscription_net_revenue_usd,float64,"Subscription billings net of tax, refunds and chargebacks (USD, cash view)."
fact_subscribers,token_net_revenue_usd,float64,Token pack purchases net of tax and refunds (USD).
fact_subscribers,refunds_usd,float64,"Refunds granted (gross USD, positive)."
fact_subscribers,chargebacks_usd,float64,"Chargebacks lost (gross USD, positive)."
fact_subscribers,lifetime_net_revenue_usd,float64,subscription_net_revenue_usd + token_net_revenue_usd.
